,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
508,2021_2,70,movel,45,8,37,31.33645749092102,24.284800052642822,8.135250210762024,0.0,0.5805000066757202,0.7460000067949295
510,2021_2,71,movel,29,8,21,48.34815979003906,42.56591987609863,7.0665000677108765,0.0,0.6854999959468842,0.8439999967813492
512,2021_2,72,movel,3,3,0,7.694602966308594,2.2071681022644043,37.25699996948242,0.0,1.1419999599456787,3.802999973297119
514,2021_2,73,movel,10,6,4,81.16536140441895,23.87657642364502,9.660500049591064,26.5,0.2410000041127205,0.828000009059906
516,2021_2,74,movel,2,1,1,236.88470458984372,146.16492652893066,16.72800040245056,0.0,0.3355000019073486,0.6439999863505363
518,2021_2,75,movel,31,22,9,12.695178985595703,28.215744018554688,25.944249153137207,0.0,0.2957500033080578,0.5269999951124191
520,2021_2,76,movel,75,37,38,44.48185157775879,47.30188751220703,9.03849983215332,1.5,0.6197499930858612,0.4272499978542328
522,2021_2,77,movel,34,4,30,52.66463851928711,35.73427200317383,16.447999954223633,0.0,0.6330000162124634,0.7929999828338623
524,2021_2,78,movel,2,0,2,22.67277717590332,6.584768235683441,85.10249900817871,0.0,0.8614999651908875,1.128499984741211
526,2021_2,79,movel,30,30,0,140.94931030273438,24.05894470214844,13.967000007629396,0.0,0.4460000097751617,1.3359999656677246
528,2021_2,80,movel,10,3,7,27.315845489501957,9.953760147094728,18.919750213623047,0.0,0.7177500128746033,3.3054999709129333
530,2021_2,81,movel,23,22,1,35.8509578704834,101.69471740722656,12.6899995803833,0.0,0.8619999885559082,3.097499966621399
532,2021_2,82,movel,39,13,26,42.72420883178711,17.58724856376648,19.458000421524048,0.0,1.0150000154972076,1.5782500207424164
534,2021_2,83,movel,30,12,18,30.69455909729004,22.688064575195312,9.595000267028809,0.0,0.8554999828338623,1.9459999799728396
536,2021_2,84,movel,15,9,6,100.17801666259766,31.01042366027832,9.492499828338625,0.0,0.2650000005960464,0.9065000116825104
538,2021_2,85,movel,153,87,66,35.96787405014038,23.411264419555664,15.486000061035156,0.0,0.6344999969005585,1.1929999589920044
540,2021_2,86,movel,7,3,4,62.9395227432251,19.159776210784912,10.688499927520752,0.0,1.2184999585151672,1.0785000026226044
542,2021_2,87,movel,21,7,14,33.52519989013672,22.413887977600098,10.869999885559082,0.0,0.4040000140666961,1.5479999780654907
544,2021_2,88,movel,6,5,1,1.5897599458694458,4.685887813568115,13.639999866485596,0.0,0.8089999854564667,2.118000030517578
546,2021_2,89,movel,12,11,1,26.03665351867676,8.847999572753906,12.0455002784729,0.0,1.1779999732971191,1.9839999675750728
548,2021_2,90,movel,15,8,7,42.132568359375,11.472384452819824,12.414999961853027,0.0,1.0470000505447388,0.8659999966621399
550,2021_2,91,movel,23,10,13,43.93644714355469,30.28550338745117,15.030499935150146,0.0,1.5490000024437904,0.5627499967813492
552,2021_2,92,movel,4,4,0,18.72800064086914,9.653279781341553,22.506999969482425,0.0,1.381999969482422,3.755000114440918
554,2021_2,93,movel,13,13,0,135.4855842590332,73.43671894073486,10.96875,0.0,0.4852499961853027,1.902999997138977
556,2021_2,94,movel,27,11,16,36.908159255981445,12.950112134218216,16.28350019454956,0.0,0.5552500039339066,1.7319999933242798
558,2021_2,95,movel,5,1,4,29.325109034776688,51.59807997941971,30.919000148773197,25.0,1.8699999749660488,6.99400007724762
560,2021_2,96,movel,20,5,15,63.19845581054688,69.38937759399414,8.413000106811523,0.0,0.328000009059906,0.7240000069141388
562,2022_1,01,movel,19,14,5,47.592384338378906,27.803391456604004,18.89299964904785,0.0,1.0499999523162842,1.6260000467300415
564,2022_1,02,movel,1,1,0,29.146623611450195,100.27366638183594,10.614999771118164,0.0,0.1480000019073486,3.871999979019165
567,2022_1,04,movel,1,1,0,201.93536376953125,100.78591918945312,8.75100040435791,0.0,0.3079999983310699,0.5199999809265137
569,2022_1,05,movel,12,5,7,61.9432430267334,10.989887714385986,17.9375,0.0,0.8350000083446503,1.7907499969005585
571,2022_1,06,movel,5,4,1,139.71543836593628,24.79827618598938,19.489749670028687,0.0,1.0319999679923058,1.4647499918937683
573,2022_1,07,movel,10,2,8,44.42500972747803,18.12638384103775,21.04124975204468,4.75,1.780000001192093,2.9180000126361847
575,2022_1,08,movel,40,15,25,163.9434356689453,26.675040245056152,7.214000225067139,0.0,0.356000006198883,0.7080000042915344
577,2022_1,09,movel,1,0,1,0.959999978542328,0.4147199988365173,43.729000091552734,0.0,2.7679998874664307,4.478000164031982
579,2022_1,10,movel,11,4,7,33.19132471084595,93.00318670272829,11.437000274658203,0.0,1.003999948501587,1.5260000228881836
581,2022_1,11,movel,26,0,26,41.33030891418457,29.15404891967773,5.824999809265137,0.0,0.3980000019073486,0.8080000281333923
583,2022_1,12,movel,9,6,3,50.69982051849365,54.51284122467041,6.685500144958496,1.25,0.8689999841153622,0.554249994456768
585,2022_1,13,movel,63,15,48,44.50362205505371,28.2172794342041,15.105999946594238,0.0,0.4310000091791153,1.462000012397766
587,2022_1,14,movel,3,1,2,23.38878059387207,8.659392356872559,29.214000701904297,0.0,2.0390000343322754,4.9070000648498535
589,2022_1,15,movel,11,6,5,50.678802490234375,108.81795120239258,6.744999885559082,0.0,0.402999997138977,0.7569999992847443
591,2022_1,16,movel,20,3,17,93.24019694328308,30.79918360710144,14.998499870300291,0.0,1.878750041127205,2.56574995815754
593,2022_1,17,movel,92,29,63,28.235924243927,35.10464096069336,11.986999988555908,0.0,0.534000001847744,2.1552500128746037
595,2022_1,18,movel,36,25,11,31.272157669067383,37.29935836791992,11.133000373840332,0.0,0.2680000066757202,0.7860000133514404
597,2022_1,19,movel,40,6,34,46.00618743896485,31.04472041130066,6.501000165939331,0.0,0.3742499873042106,0.5139999836683273
599,2022_1,20,movel,3,3,0,58.78336584568024,25.71285630017519,22.12575054168701,0.5,1.387749969959259,5.697750151157379
601,2022_1,21,movel,12,6,6,165.05227947235107,31.04748916625977,19.94750022888184,0.0,0.9090000092983246,2.160999953746796
603,2022_1,22,movel,67,37,30,92.66006469726562,35.73855972290039,13.647000312805176,0.0,0.4690000116825104,1.2000000476837158
605,2022_1,23,movel,12,6,6,109.72003173828124,68.19990348815918,8.858500003814697,0.0,0.3999999910593033,1.184499979019165
607,2022_1,24,movel,20,16,4,222.8604736328125,42.57427215576172,7.218500137329102,0.0,0.2590000033378601,1.5980000495910645
609,2022_1,25,movel,12,0,12,19.044443130493164,49.44307327270508,7.445000171661377,0.0,0.3244999945163727,0.2939999997615814
611,2022_1,26,movel,75,20,55,127.08047103881836,34.40908718109131,18.91700041294098,0.0,0.7135000042617321,1.4139999747276306
613,2022_1,27,movel,13,1,12,127.71492004394533,48.21786785125733,10.10349988937378,0.0,0.7800000011920929,2.673500031232834
615,2022_1,28,movel,7,0,7,16.845937728881836,15.468095779418944,15.937000274658203,0.0,25.940000534057617,1.0770000219345093
